Counc_Dist,Zip,LotNum,SumParcels,OwnerID,Abate_Date,Address,LAT,LNG
3,19104,4017,1,City,5/9/2013,4017 WALLACE ST,39.963938900010206,-75.20398579117592
3,19104,4069,1,City,10/23/2012,4069 WALLACE ST,39.96369620304775,-75.2051155406482
3,19104,4071,1,City,10/23/2012,4071 WALLACE ST,39.963709856048894,-75.20517391707001
3,19104,4073,1,PHDC,10/23/2012,4073 WALLACE ST,39.96372221611962,-75.20523591090769
3,19104,4208,1,Private,4/23/2013,4208 WALLACE ST,39.96350172841855,-75.2074301514731
3,19104,4239,2,Private,4/23/2013,4239 WALLACE ST,39.96374615510626,-75.2086701395675
3,19104,4320,1,City,10/17/2012,4320 WALLACE ST,39.96328220385188,-75.21004190545891
3,19104,4338,1,Private,10/17/2012,4338 WALLACE ST,39.96325416799436,-75.2105122681703
3,19104,4131,1,Private,10/25/2012,4131 WESTMINSTER AVE,39.97040884219641,-75.20688428952226
3,19104,4133,2,Private,10/25/2012,4133 WESTMINSTER AVE,39.97040191439443,-75.2069434425174
3,19104,4139,2,Private,10/25/2012,4139 WESTMINSTER AVE,39.9703611942265,-75.2072126651146
3,19104,4146,1,PHDC,10/22/2012,4146 WESTMINSTER AVE,39.969943771547364,-75.20777082194462
3,19104,4148,1,Private,10/22/2012,4148 WESTMINSTER AVE,39.96993801775328,-75.20782100727752
3,19104,4150,1,City,10/22/2012,4150 WESTMINSTER AVE,39.96993222443215,-75.20786940943769
3,19104,430,1,Private,2/12/2013,430 WIOTA ST,39.961037574441654,-75.20318625413874
3,19104,434,1,Private,2/22/2013,434 WIOTA ST,39.96110939296158,-75.20320497482425
3,19104,436,1,Private,2/12/2013,436 WIOTA ST,39.961149339041626,-75.20321061502472
3,19104,438,1,Private,2/12/2013,438 WIOTA ST,39.96118924554393,-75.2032144722997
3,19104,440,1,Private,2/12/2013,440 WIOTA ST,39.9612084930103,-75.20321553518839
3,19104,708,1,Private,7/31/2012,708 WIOTA ST,39.96541802830169,-75.2033789379262
3,19104,710,1,City,7/31/2012,710 WIOTA ST,39.96545385839279,-75.203384732881
3,19104,710,1,City,2/14/2013,710 WIOTA ST,39.96545385839279,-75.203384732881
3,19104,712,1,Private,7/31/2012,712 WIOTA ST,39.965488316491545,-75.20339057927335
3,19104,712,1,Private,2/14/2013,712 WIOTA ST,39.965488316491545,-75.20339057927335
3,19104,714,1,Private,7/31/2012,714 WIOTA ST,39.96552277459001,-75.20339642567158
3,19104,714,1,Private,2/14/2013,714 WIOTA ST,39.96552277459001,-75.20339642567158
